# Pathway	SRR22212915	SRR22212916	SRR22212917	SRR22212919	SRR22212920	SRR22212921	SRR22212922	SRR22212927	SRR22212929	SRR22212932	SRR22212934	SRR22212935	SRR22212936	SRR22212938	SRR22212939	SRR22212940	SRR22212941	SRR22212944	SRR22212945	SRR22212946	SRR22212947	SRR22212950	SRR22212951	SRR22212953	SRR22212954	SRR22212957	SRR22212958	SRR22212960	SRR22212967	SRR22212971	SRR22212972	SRR22212973	SRR22212974	SRR22212977	SRR22212978	SRR22212981	SRR22212982	SRR22212984	SRR22212985	SRR22212987	SRR22212988	SRR22212990	SRR22212993	SRR22212994	SRR22212996	SRR22212997	SRR22213000	SRR22213002	SRR22213003	SRR22213004	SRR22213005	SRR22213008	SRR22213011	SRR22213015	SRR22213018	SRR22213019	SRR22213021	SRR22213022	SRR22213025	SRR22213030	SRR22213032	SRR22213034	SRR22213035	SRR22213037	SRR22213038	SRR22213040	SRR22213043	SRR22213044	SRR22213046	SRR22213049	SRR22213051	SRR22213053	SRR22213054	SRR22213055	SRR22213059	SRR22213065	SRR22213066	SRR22213068	SRR22213073	SRR22213074	SRR22213075	SRR22213078	SRR22213079	SRR22213080	SRR22213082	SRR22213083	SRR22213084	SRR22213085	SRR22213087	SRR22213088	SRR22213090	SRR22213091	SRR22213093	SRR22213094	SRR22213096	SRR22213098	SRR22213099	SRR22213101	SRR22213103	SRR22213104	SRR22213105	SRR22213107	SRR22213108	SRR22213109	SRR22213110	SRR22213114	SRR22213116	SRR22213117	SRR22213119	SRR22213122	SRR22213123	SRR22213124	SRR22213125	SRR22213126	SRR22213129	SRR22213131
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	445.068	198.795	658.211	200.361	375.068	404.652	305.12	431.381	147.26	51.6585	665.268	202.635	541.401	194.77	16.9234	643.355	181.473	142.143	54.3318	228.805	238.55	861.527	159.159	148.465	153.999	67.8173	243.011	294.209	16.2576	24.6826	359.137	198.546	0	547.445	53.2314	460.224	213.729	200.047	4.75544	352.191	518.047	312.835	152.613	140.548	460.87	183.176	202.985	476.301	348.352	145.225	181.534	230.809	1194.58	44.2694	499.19	227.893	138.401	336.098	89.4536	181.807	98.7165	80.2558	223.383	397.173	393.493	659.849	328.189	265.051	666.674	6.05192	383.833	191.371	186.433	248.319	857.307	572.533	242.149	503.69	1042.67	295.149	393.586	830.194	144.903	530.416	818.866	152.656	586.849	433.82	140.91	543.798	243.539	114.32	0	210.559	333.788	0	276.449	284.463	270.377	295.506	100.813	205.594	388.863	530.007	500.842	296.521	202.897	1060.11	211.83	185.453	0	0	204.885	452.026	240.376	610.795
P42-PWY: incomplete reductive TCA cycle	33.5199	5.30026	28.4863	31.4993	89.9741	0	76.1684	107.032	55.0245	0	111.067	9.17735	61.4008	58.3072	0	72.7708	72.354	28.767	55.4303	7.3289	127.048	528.595	17.7119	0	0	40.2063	7.5756	80.924	0	23.784	4.32783	0	0	64.0613	135.966	415.106	55.659	48.7122	0	11.025	81.4574	15.0045	11.464	31.2963	73.7337	0	81.9886	16.2347	397.105	62.5355	12.2278	17.5925	1258.32	8.85625	118.45	27.4489	42.2037	112.5	0	68.3649	0	49.561	12.083	50.1346	287.287	0	274.967	8.18431	0	0	68.5841	9.68199	6.82549	3.70111	16.1144	29.8475	3.60312	33.5715	1040.24	67.8919	84.0989	906.415	15.0172	23.6914	799.503	0.833667	2.1358	7.29685	0	316.876	0	52.5524	0	20.3523	51.8692	0	25.6661	116.851	149.668	0	0	69.9328	29.3	32.1314	0	37.6419	0	1187.82	0	30.7584	0	0	64.2087	0	0	67.2105
P441-PWY: superpathway of N-acetylneuraminate degradation	249.822	0	0	156.932	84.441	0	245.867	183.728	270.433	441.18	0	364.097	26.1068	215.379	322.394	0	283.496	294.29	273.589	76.8116	286.482	244.724	118.643	287.533	298.339	0	365.129	204.596	0	333.872	73.1141	0	314.463	0	315.541	453.299	204.096	283.669	355.224	112.461	207.244	123.517	316.367	272.899	151.966	332.232	200.267	42.5038	0	208.948	32.2825	354.73	0	292.589	98.3798	144.335	268.231	48.3939	330.558	270.409	312.044	333.59	98.7954	0	0	0	365.581	52.6112	0	466.937	300.723	80.6451	305.729	29.9321	0	37.5533	102.628	91.9008	0	168.026	126.816	143.967	76.1388	37.0849	50.4526	56.1591	33.5804	61.4508	282.417	0	0	327.377	0	88.3909	262.825	0	72.6864	281.565	155.459	102.216	0	221.462	257.64	111.216	34.084	210.653	240.451	0	307.634	0	0	0	288.746	0	82.6806	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	239.572	322.772	0	251.677	163.284	110.49	183.31	0	427.965	774.025	0	665.649	19.2804	167.937	586.728	0	373.782	491.777	435.338	54.6228	658.6	33.004	53.6942	490.804	482.505	0	576.552	233.038	319.559	603.812	14.3678	0	301.935	38.9023	539.408	163.775	97.0814	411.557	578.248	20.5518	114.668	42.9558	381.969	323.903	150.116	467.964	234.624	0	0	174.191	21.8908	630.891	0	551.297	43.0896	121.111	255.394	17.1188	320.008	357.184	364.647	317.565	44.4015	62.0294	0	22.5779	39.9527	11.1604	0	861.219	414.259	22.2118	403.764	15.1546	258.572	18.9975	56.9137	0	0	185.486	40.8726	42.8737	71.2175	35.1317	39.3736	36.5701	22.2838	126.325	556.186	3.76184	340.065	327.522	0	95.3263	322.303	652.922	47.9334	328.003	392.079	167.148	351.478	255.418	167.872	90.7955	0	126.787	315.881	0	547.191	401.385	0	0	419.572	0	411.793	0
P562-PWY: myo-inositol degradation I	16.6787	0	0	9.76609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319.41	0	0	0	0	0	0	0	0.808791	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06032	0	0	0	0	6.23265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.1652	0	0	7.34735	0	0	0	0	0	0	0	0	3.96252	8.00344	0	0	0	0	0	0	0	0	0	11.8994	53.3965	0	0	0	0.990863	9.44241	0	0	0	0	0	0	0	0	0	0	0	0
P621-PWY: nylon-6 oligomer degradation	0	0	0	19.6716	0	0	70.8549	0	0	0	0	3.29951	0	0	0	0	0.342164	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0699	0	0	0	0	0	2.16426	0	0	2.84965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807346	32.1688	0	0	0	0	0	0	18.8891	0	0	0	0	0	0	16.2377	0	0	0	19.2104	0	0	0	0	0	1.89864	0	0	0	0	0	0	6.04449	0	0	0	42.8473	0	0	3.43371	0	0	26.0228	44.878	75.4906	7.64932	0	2.70282	0	0	0	0	0	0	0	0	0	12.5384	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	81.3789	207.481	49.8693	313.06	203.942	116.778	183.187	105.157	225.528	440.216	183	312.804	233.579	305.014	274.8	149.126	280.039	256.893	298.944	495.842	489.407	948.596	294.923	267.452	282.291	469.205	287.518	279.48	363.224	308.536	291.68	439.544	312.526	146.803	313.09	197.8	242.957	211.905	292.007	283.139	111.593	109.966	304.262	282.338	116.595	227.027	207.115	144.172	397.813	366.119	328.705	523.668	1323.81	273.672	421.763	621.17	286.604	337.06	238.092	685.576	239.75	295.216	269.498	117.766	582.471	0	259.438	352.292	34.2137	411.846	251.162	375.517	292.687	465.857	67.1039	34.4104	376.575	255.753	1143.89	242.521	444.655	993.317	328.165	12.8664	996.728	305.105	217.776	117.804	257.123	445.623	241.623	255.872	562.432	372.334	381.172	404.917	324.51	217.322	280.681	140.164	315.733	144.285	222.829	61.9017	160.061	281.273	222.42	1244.49	282.003	265.235	408.566	364.398	317.196	0	227.696	148.668
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	112.928	208.766	34.6826	285.639	212.362	162.981	197.196	129.47	199.376	235.422	210.012	216.191	242.349	324.541	172.898	215.673	219.794	187.269	154.382	544.675	233.21	775.382	313.092	196.985	184.228	338.935	227.097	272.605	263.74	164.846	310.362	308.079	269.163	161.284	223.878	237.147	272.036	177.686	167.179	296.27	166.335	140.767	280.392	216.373	161.533	202.783	232.277	231.883	350.011	302.979	350.862	290.25	1072.34	170.574	386.185	471.089	306.392	289.098	170.256	341.942	201.711	198.02	286.21	164.471	518.26	0	224.631	385.04	52.6181	245.935	200.133	375.216	289.276	484.771	72.6918	47.8112	405.533	285.128	1001.94	322.125	476.458	831.723	332.088	21.6424	861.278	331.898	282.132	165.886	214.89	408.467	209.355	203.276	0	378.93	316.653	304.326	360.342	205.146	250.592	180.705	233.185	185.101	252.304	110.596	200.466	295.374	194.572	977.154	205.798	210.905	0	0	230.207	0	152.264	194.685
PENTOSE-P-PWY: pentose phosphate pathway	339.384	401.028	46.0068	296.518	275.696	216.73	409.243	340.194	612.285	734.664	123.247	560.61	310.836	240.625	565.344	87.2751	416.938	442.07	493.771	224.992	476.012	668.394	227.83	688.112	765.65	633.261	682.26	205.72	579.322	679.219	285.9	457.911	320.871	172.18	515.12	603.565	267.294	476.109	518.08	302.565	421.662	268.993	477.891	374.094	449.643	413.617	423.461	218.756	348.329	387.386	215.828	515.375	792.633	506.543	646.267	197.291	389.828	601.876	444.031	266.437	468.841	494.884	276.002	282.594	607.895	241.831	502.469	264.529	75.8094	607.063	622.746	292.521	576.654	258.363	484.716	278.788	265.227	461.815	750.584	378.024	220.886	779.86	187.106	157.918	699.863	258.236	201.796	493.931	655.318	392.196	419.085	512.837	0	334.144	360.757	579.179	231.07	332.195	408.764	418.562	504.664	506.736	381.633	346.286	272.864	328.699	370.225	780.986	646.158	493.291	429.544	394.799	595.676	0	519.268	496.599
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	428.472	196.021	618.908	255.86	348.814	401.169	310.382	444.545	259.02	307.487	564.025	329.124	515.015	437.11	215.269	612.648	342.965	237.172	180.89	771.727	335.281	644.993	396.41	221.184	208.964	527.552	250.841	320.636	301.759	215.098	433.222	403.118	233.452	531.028	232.621	647.861	415.434	260.818	201.899	395.574	453.687	534.496	249.014	192.314	420.305	191.708	317.811	594.865	346.568	401.26	468.705	359.942	583.431	223.299	458.843	761.451	298.745	524.246	223.084	565.855	237.302	235.482	357.366	402.478	558.387	842.092	609.919	526.971	678.712	376.73	378.774	445.988	312.539	558.554	683.286	677.755	574.485	521.88	672.948	539.711	613.164	691.823	412.02	541.713	578.726	527.214	687.852	425.001	246.731	450.465	226.232	233.294	508.75	491.577	492.663	301.007	488.245	215.265	283.622	281.319	241.432	263.249	509.157	519.308	454.287	390.021	171.978	607.174	249.592	342.254	345.634	334.421	250.26	468.146	246.505	545.133
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	138.623	237.194	0	262.583	128.017	83.0894	165.424	124.194	397.414	484.83	0	356.685	24.6905	280.366	329.411	0	492.555	262.898	280.148	127.381	299.436	0	263.091	384.287	367.292	0	403.019	372.973	339.666	325.195	148.3	0	219.384	30.2706	308.301	436.35	257.919	404.101	363.564	189.287	89.0753	106.091	355.524	317.782	110.355	291.26	207.346	0	0	232.07	157.89	432.913	0	346.916	97.4721	298.854	183.303	0	330.946	225.397	257.861	247.945	116.065	96.7866	0	0	362.186	234.251	0	447.482	309.562	222.105	368.437	114.717	33.4725	0	182.237	25.9463	0	162.655	242.641	30.748	125.618	31.877	0	205.55	17.84	141.416	430.001	0	234.5	265.246	404.383	189.466	230.409	415.328	240.88	267.648	307.07	201.214	294.146	254.427	266.578	99.9767	0	264.136	261.059	0	383.039	386.275	450.376	394.016	326.687	0	268.425	0
PHOTOALL-PWY: oxygenic photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.487416	0	0	15.1673	0	0	20.6353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.2188	0	0	0	0	0	0	0	0	2.31625	0	0	0	0	11.8789	0	0	0	0	0	0	3.70547	0	0	0	0	22.4814	0	0	0	1.59968	0	8.0814	0	0	24.1985	0	0	0	0	0	23.8989	0	0	2.21017	4.96703	0	0	0	0	0	0	48.7216	0	0	20.6558	0	0	0	0	0	1.09211	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	120.683	276.099	0	126.826	31.0254	0	145.212	0	339.077	358.602	0	280.387	0	146.36	264.591	0	290.469	211.183	243.295	34.2594	211.579	0	73.304	341.051	328.859	0	397.931	219.354	412.572	233.195	47.0718	0	0	12.8913	245.039	0	103.276	279.946	237.969	28.3261	99.543	60.759	0	0	105.268	353.386	147.742	11.0484	0	168.329	22.5009	331.971	0	239.272	13.1597	78.9201	10.2639	0	303.111	143.484	338.836	313.798	41.3154	29.103	0	0	0	25.3381	0	348.878	227.141	20.5178	259.93	14.2586	0	0	30.3952	0	0	139.234	41.7416	13.4715	49.5345	0	0	17.8429	14.8861	123.343	383.104	0	272.306	304.132	0	98.4402	143.279	481.256	26.3098	225.562	280.602	117.504	328.59	159.66	165.91	65.3846	0	114.748	327.744	0	341.199	0	0	0	387.885	0	365.189	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	129.85	219.286	0	77.3423	29.3056	0	188.569	213.039	240.421	298.417	0	277.877	99.9704	121.639	309.053	0	182.286	196.4	202.493	12.0172	176.65	288.885	49.2501	266.825	296.415	473.938	326.054	127.402	0	259.596	14.4253	306.074	0	59.3066	257.229	174.252	133.187	268.472	291.7	18.6358	71.6435	22.8319	317.992	281.253	76.8845	250.891	157.497	129.922	0	243.626	129.631	260.096	0	250.424	367.883	38.0195	56.2302	475.914	201.539	64.4368	194.951	212.098	155.144	97.9489	488.353	0	71.6993	168.943	33.5994	387.596	202.185	16.2344	379.336	97.2487	109.429	0	176.101	197.595	55.7833	133.049	7.93113	197.334	98.1211	123.056	347.944	141.596	18.9424	111.302	281.824	279.423	241.487	175.391	0	210.918	78.3701	0	106.654	184.174	178.071	164.956	201.511	165.702	115.237	62.2489	133.705	97.3085	185.86	0	310.301	27.2008	378.55	356.743	246.682	0	228.964	94.8323
PPGPPMET-PWY: ppGpp metabolism	12.1483	214.249	0	506.581	152.834	143.157	133.433	68.9655	30.6375	37.1046	0	32.9835	9.82924	2.92802	30.1495	0	37.1351	20.8028	12.9103	7.86938	87.8318	0	5.26627	46.3399	30.6742	0	33.7485	124.42	317.612	14.9779	2.12473	0	252.084	18.326	17.4762	439.928	32.8173	23.6155	41.1738	6.65613	92.5809	13.6149	241.504	200.696	108.102	236.276	36.4217	0	0	32.6572	4.57092	123.191	0	104.13	18.8619	10.4567	240.265	0	180.272	20.3164	210.839	243.468	17.7148	32.5835	0	0	262.686	1.71782	0	59.9656	18.0434	18.1596	26.4798	11.4189	13.4584	0	21.6091	12.1242	0	10.8263	40.9612	37.7064	14.1396	1.99493	0	18.4505	22.6929	66.1659	34.4845	0	238.04	201.692	613.641	5.42231	12.3344	141.467	36.7705	196.563	177.707	123.469	259.629	26.5779	8.91858	45.94	0	13.4816	174.364	0	63.3864	185.461	356.975	349.984	70.7789	0	174.547	0
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43334	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35352	0	0	0	3.00173	0	1.75377	0	0	4.10917	0	0	0	0	0	0	0	0	0	0	1.38163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	95.223	0	0	0	0	0	0	0	2.06412	0	3.82199	0	0	0	0	0.43693	0	0	0	0	0	0	8.614	0	0	0	92.6145	0	0	0.563242	0	0	0	0	0	2.15251	0	0	2.6608	41.4688	0.578554	0	4.14126	53.0419	173.197	0	0	0	0	0	0	0	54.1561	0	1.94525	0	0	0	0	0	0	0.365711	11.3092	0	0	0	0	0	0	0	0	0	1.23495	0	0	1.20776	0	0	0	0	0	0	0	0	0	0	60.1812	0	0	114.692	0	436.823	0	0	0	0	96.3883	137.421	0	0	0	0.620599	8.20863	0	0	244.453	0	35.0491	0	0	0	27.9186	0	158.165	0
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0	172.005	0	259.862	200.856	148.587	220.571	0	129.659	39.0156	0	37.6664	0	94.3736	137.115	0	121.842	146.801	104.749	14.7346	162.661	0	44.4416	47.7223	0	0	68.0708	202.608	0	132.05	12.0619	0	251.206	0	135.882	0	117.267	124.465	131.54	13.3154	133.285	28.2622	0	0	163.273	224.516	131.976	0	0	106.091	11.9522	192.173	0	152.867	0	65.9001	274.702	0	222.489	116.747	232.275	266.274	28.2457	0	0	0	0	18.5322	0	181.289	182.916	14.2697	196.986	5.15912	0	0	0	0	0	112.285	14.5346	0	33.9846	0	0	0	5.78222	65.9153	0	0	191.58	259.282	0	43.4131	107.909	0	26.2736	224.938	223.213	211.229	282.26	111.752	93.634	89.0917	0	93.1638	205.192	0	79.1188	219.342	0	0	98.1534	0	132.3	0
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.965236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV	244.831	619.67	80.6395	350.745	238.694	169.724	290.036	302.961	414.34	633.563	158.97	636.139	247.429	495.077	488.182	282.804	467.667	329.908	454.891	548.556	401.855	1531.6	388.466	428.279	535.337	139.92	580.097	444.239	654.561	566.151	482.608	111.959	374.785	202.28	531.79	748.112	479.374	468.037	644.004	479.008	291.258	607.585	405.092	353.124	327.695	700.523	321.282	354.849	603.54	562.573	511.15	582.001	1691.56	491.494	501.407	636.651	372.345	288.752	328.34	499.255	348.637	438.665	510.461	270.748	549.273	84.3842	747.119	602.192	0	706.106	502.624	460.181	489.059	674.465	444.708	142.924	615.225	298.199	1354.85	413.61	703.164	1384.83	519.058	138.304	1099.03	531.698	556.815	411.076	624.555	501.133	565.612	357.913	0	610.284	575.735	675.657	613.801	567.03	612.141	225.598	391.952	317.335	421.735	258.001	290.673	442.274	378.763	1726.62	544.074	609.377	488.282	510.285	420.802	12.022	706.116	352.592
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	130.467	261.713	0	213.216	104.084	74.8651	87.785	44.7621	338.918	475.042	0	325.635	6.11405	211.681	360.712	0	309.254	270.795	292.234	22.0848	179.485	0	155.789	371.36	362.071	0	419.856	151.742	501.962	356.12	26.579	0	224.049	17.1248	310.051	320.328	163.368	372.619	413.752	24.1804	89.0502	13.3467	441.183	288.293	79.682	317.465	134.227	0	0	191.463	141.072	415.136	0	338.558	11.4619	113.054	204.849	0	254.768	241.304	242.888	280.235	33.2616	27.908	0	0	286.649	50.3232	0	393.915	252.383	131.073	293.717	28.8148	9.82839	8.12677	112.604	4.9134	0	164.753	146.942	10.2178	53.5117	0	3.79203	142.488	15.8523	82.5301	415.558	0	232.862	258.899	486.698	80.6754	269.562	1169.83	86.1487	243.837	411.685	119.626	255.311	188.007	141.834	49.6705	0	183.808	221.868	0	420.049	214.873	399.153	386.628	385.118	0	179.459	0
PWY-1501: mandelate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.680326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1622: formaldehyde assimilation I (serine pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.4963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.2767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	152.543	13.7118	30.2289	51.8991	51.7105	0	9.52956	163.518	282.937	5.34956	97.7273	0	203.826	67.1574	346.414	76.4455	242.718	235.716	302.548	43.4051	29.0243	827.962	70.2107	339.244	315.462	229.015	675.239	38.0129	0	355.403	7.20305	175.156	0	90.4562	362.102	418.1	55.1567	157.427	360.669	9.08614	165.718	36.6999	35.5511	101.962	177.69	387.32	90.3668	87.0434	422.519	21.8506	15.3384	10.5099	1036.18	301.49	355.603	122.756	30.8773	309.67	169.272	0	69.4424	61.8907	45.4873	151.606	616.694	26.0967	11.7947	16.8148	0	17.9302	358.589	12.0291	250.657	29.5108	196.029	0	55.2422	298.522	902.853	22.5646	49.869	910.701	42.8918	42.0955	671.518	46.786	21.9824	0	539.78	350.216	0	55.5071	0	23.4922	0	0	27.4132	123.577	143.997	40.1724	0	211.794	62.025	58.756	211.011	77.7977	0	981.137	332.271	12.7087	2.88031	0	236.717	0	11.6024	118.397
PWY-2201: folate transformations I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.7992	0	0	0	0	0	0	0	0	1.63057	0	0	0	0	1.9586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	32.4915	0	0	60.9122	52.6625	0	144.129	178.579	18.6308	0	0	3.59397	36.3379	236.979	0	0	163.499	13.4121	34.9431	134.025	82.7633	0	94.4177	0	0	0	0	163.055	0	15.88	126.901	212.59	0	40.8029	74.8742	142.445	112.568	20.1306	0	126.77	158.82	184.411	77.9123	33.5769	123.061	0	129.434	26.4141	0	136.531	80.9959	8.0998	0	0	31.1599	76.2581	29.4609	0	13.9462	138.512	0	0	110.22	195.184	0	0	42.7706	128.114	0	0	47.1694	89.641	109.816	76.948	15.532	0	97.9599	118.467	0	30.2538	90.4744	0	75.1955	84.6329	178.034	143.114	60.8418	27.1986	0	178.504	0	44.3255	0	100.074	133.339	0	163.023	55.4022	87.1268	156.095	7.27001	65.7283	122.026	11.8506	80.0354	159.432	0	0	0	21.7949	0	0	22.8938	0	0	23.3176
PWY-2941: L-lysine biosynthesis II	69.6311	0	81.0089	71.831	85.0165	0	177.279	363.307	12.0032	0	283.638	0	208.1	0	0	171.392	73.2919	19.6363	43.7205	62.1201	141.177	394.04	135.297	0	0	549.933	21.759	4.14476	11.9074	22.1851	299.218	357.648	0	152.371	128.992	282.203	97.8424	37.7316	19.8318	290.096	0	80.5477	31.0846	59.2216	23.7829	238.814	115.633	230.385	221.449	203.003	249.328	61.5201	0	59.1365	405.924	153.974	55.3815	475.337	0	141.71	0	80.8832	163.212	211.029	472.057	93.3706	68.2632	84.2413	119.356	8.46474	187.92	330.961	171.991	34.4813	532.926	226.627	220.992	357.984	0	73.1761	100.15	140.936	33.2823	163.553	569.179	217.737	50.7859	54.5536	0	523.446	9.85419	101.99	485.442	135.838	119.146	0	123.098	91.9553	130.26	197.784	14.2117	166.992	81.7655	122.751	328.779	228.15	200.889	0	19.0521	36.1417	402.676	402.218	114.29	0	17.7922	171.532
PWY-2942: L-lysine biosynthesis III	146.929	0	0	0	0	0	78.1283	0	68.3866	0	0	0	0	345.987	0	367.23	299.766	30.9865	0	350.987	0	0	316.238	0	0	0	0	316.119	0	0	408.927	0	0	0	0	470.883	355.626	19.4467	0	392.117	284.563	373.747	0	0	207.452	0	265.09	390.381	0	308.934	376.533	0	0	0	433.398	753.447	39.5442	0	31.336	558.266	0	0	318.673	66.1862	0	51.9291	491.469	398.704	0	0	132.346	372.023	241.164	399.699	0	74.6331	439.737	0	0	399.644	550.638	0	311.997	0	77.7818	384.42	415.289	0	0	0	0	44.5724	0	405.989	423.275	0	360.267	111.283	168.949	106.974	0	0	349.571	159.552	0	396.172	0	0	23.1372	0	436.535	416.601	0	0	0	178.806
PWY-3001: superpathway of L-isoleucine biosynthesis I	540.146	324.385	642.397	397.046	437.853	477.852	368.546	462.851	434.254	514.223	604.483	445.394	597.626	408.631	430.761	556.654	475.943	391.829	268.103	379.786	422.356	584.12	282.829	554.07	503.965	94.3352	511.081	314.493	48.2105	352.281	364.86	360.762	316.243	551.312	423.231	689.209	423.629	475.405	425.747	332.168	532.233	374.258	360.989	263.501	470.344	307.804	428.756	620.082	350.745	300.746	311.359	549.916	940.873	378.062	500.71	223.838	370.578	290.573	331.676	388.568	323.784	323.235	311.104	480.568	467.231	901.453	526.639	343.315	627.187	632.609	561.725	313.599	490.211	378.154	802.065	779.593	382.319	525.78	909.025	527.22	330.986	856.985	276.536	535.142	838.135	406.576	626.811	512.868	427.28	500.611	348.231	314.75	571.111	370.715	481.82	562.824	365.322	326.798	472.102	340.468	339.206	408.052	537.17	642.809	463.966	383.515	286.222	878.974	558.365	502.819	40.531	0	467.11	496.952	314.43	532.921
PWY-3781: aerobic respiration I (cytochrome c)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.616409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.573086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
